State,"Voter Turnout","Male Literacy Rate","Female Literacy Rate","Total Literacy Rate",GSDP
"Andhra Pradesh",80.22,76,60,67,92583912
"Arunachal Pradesh",81.15,74,58,65,3002365
Assam,81.57,79,67,72,34685068
Bihar,57.30,71,52,62,58185548
Goa,75.10,93,85,89,7503209
Gujarat,64.41,86,70,78,161714320
Haryana,70.23,84,66,76,73219451
"Himachal Pradesh",72.24,90,76,83,15916402
"Jammu & Kashmir",44.84,77,56,67,16410322
Karnataka,68.77,83,68,75,161113386
Kerala,77.79,96,92,94,81293463
"Madhya Pradesh",71.16,79,59,69,92785500
Maharashtra,60.96,88,76,82,265737096
Manipur,82.54,86,72,79,2981303
Meghalaya,71.40,77,72,74,3477040
Mizoram,63.05,93,89,91,2498960
Nagaland,82.91,83,76,80,2971587
Odisha,73.22,82,64,73,53750171
Punjab,65.89,80,71,76,53703105
Rajasthan,66.27,79,52,66,99867879
Sikkim,81.02,87,76,81,3144100
"Tamil Nadu",72.39,87,73,80,174314396
Tripura,82.35,92,83,87,5415112
"Uttar Pradesh",59.18,77,57,68,170006180
"West Bengal",81.72,82,71,76,117909714
Chhattisgarh,71.59,81,61,70,34464813
Jharkhand,66.78,77,55,66,31030536
Uttarakhand,61.64,87,70,79,23924653
Telangana,62.75,75,58,66,95009049
"Andaman & Nicobar Islands",65.09,90,82,87,976500
Chandigarh,70.60,91,81,86,4342143
"Dadra & Nagar Haveli",79.58,86,66,76,NULL
"Daman & Diu",71.85,92,80,87,NULL
"Nct Of Delhi",60.58,91,81,86,79291127
Lakshadweep,85.18,96,88,92,NULL
Puducherry,81.24,91,81,86,3699874
